country,target,par,mean,hpd_l,hpd_r,non_trivial,gni,median_age
JOR,impact,treat_bxm0524,-4.044478842370712,-7.09162383512865,-0.7941908500955783,1,4420.0,23.9
JPN,impact,treat_bxm0524,-5.8878353791848435,-8.963168324307256,-2.5990723873977846,1,39350.0,48.5
KAZ,impact,treat_bxm0524,-5.143597744083021,-8.217195758468458,-1.8637179837656763,1,10730.0,29.3
KEN,impact,treat_bxm0524,-4.15084606260246,-7.067586552073449,-0.6526955087850954,1,2110.0,19.3
KGZ,impact,treat_bxm0524,-4.36148295217016,-7.461775073962599,-1.090070810668399,1,1760.0,25.0
KHM,impact,treat_bxm0524,-4.090532684165362,-7.072788171802922,-0.6879593090084128,1,2390.0,25.6
KIR,impact,treat_bxm0524,-2.2882985966566096,-5.353269713127459,1.0087208062347468,0,3740.0,22.5
KOR,impact,treat_bxm0524,-6.701790775279832,-9.80298029729904,-3.4773751795380097,1,35490.0,43.9
KWT,impact,treat_bxm0524,-5.994517720112844,-9.095128559305557,-2.733357452353518,1,41320.0,33.5
LAO,impact,treat_bxm0524,-4.282297569519006,-7.230374341587429,-0.9707592776065308,1,2110.0,24.0
LBN,impact,treat_bxm0524,-5.164304495451555,-8.026330449185146,-1.71363490584368,1,,28.1
LBR,impact,treat_bxm0524,-3.818037451591797,-6.895520247535839,-0.5513243219165656,1,710.0,18.2
LBY,impact,treat_bxm0524,-4.0106127644176475,-7.149303416357016,-0.8194356467267827,1,5940.0,26.9
LCA,impact,treat_bxm0524,-4.182077369915998,-7.2439138926960265,-0.8777191423613164,1,12350.0,33.3
LKA,impact,treat_bxm0524,-5.889985403465666,-9.030390785037248,-2.5842955281271554,1,3540.0,32.6
LSO,impact,treat_bxm0524,-5.132749747024217,-8.268948800272,-1.9965506937764363,1,1250.0,21.3
LTU,impact,treat_bxm0524,-5.310114350632029,-8.349888501645237,-2.0617282480786994,1,25080.0,42.6
LUX,impact,treat_bxm0524,-4.880830078792384,-7.952521830383512,-1.6022903978011804,1,83980.0,38.7
LVA,impact,treat_bxm0524,-5.135093110185219,-8.084220354274983,-1.8222401726577164,1,22630.0,42.9
MAC,impact,treat_bxm0524,-4.737305999193168,-7.915306846346455,-1.5398678379900161,1,,37.8
MAR,impact,treat_bxm0524,-4.171048878986438,-7.279098339696316,-0.9145257179241799,1,3760.0,28.9
MCO,impact,treat_bxm0524,-4.784050050390427,-7.92705476639397,-1.5890088324662965,1,,55.0
MDA,impact,treat_bxm0524,-7.055087146224018,-9.839987078825072,-3.621794481223482,1,6200.0,37.5
MDG,impact,treat_bxm0524,-3.345007738399075,-6.312736109188745,-0.10143282032446876,1,510.0,18.7
MDV,impact,treat_bxm0524,-2.923909319376053,-6.048643748263559,0.2825175128810624,0,11070.0,30.3
MEX,impact,treat_bxm0524,-4.621093673355363,-7.453907374605872,-1.1610140811136702,1,11980.0,28.5
MKD,impact,treat_bxm0524,-5.553523509055804,-8.651596490604792,-2.2021489629776543,1,7900.0,39.9
MLI,impact,treat_bxm0524,-3.068169703929872,-6.234781814722375,0.1996121228623906,0,840.0,15.3
MLT,impact,treat_bxm0524,-4.563831634376008,-7.783920964348133,-1.3931301775629628,1,34750.0,39.7
MMR,impact,treat_bxm0524,-4.320850338943822,-7.30414078311383,-1.0849033750721215,1,1230.0,29.3
MNE,impact,treat_bxm0524,-4.405939817618391,-7.431573974359962,-1.085601035220174,1,11590.0,39.1
MNG,impact,treat_bxm0524,-5.727864211281492,-8.672171070427016,-2.2994263585180796,1,4870.0,26.6
MOZ,impact,treat_bxm0524,-3.638200199114836,-6.616750020261999,-0.2552777201298131,1,540.0,16.2
MRT,impact,treat_bxm0524,-3.3311604295012014,-6.428197029617823,-0.16419074486581664,1,2130.0,17.0
MUS,impact,treat_bxm0524,-4.184216451456507,-7.223105086256778,-0.9735178585049855,1,11590.0,36.5
MWI,impact,treat_bxm0524,-3.5332236107119446,-6.6074274062095695,-0.29560698887557635,1,600.0,17.3
MYS,impact,treat_bxm0524,-4.3752250114176405,-7.341435849060925,-1.0382378190689447,1,11710.0,29.6
NAM,impact,treat_bxm0524,-4.512158469024451,-7.45625333411036,-1.1693840909581574,1,4280.0,20.8
NER,impact,treat_bxm0524,-3.0448296373157007,-6.225854004874535,0.136194730243135,0,620.0,15.1
NGA,impact,treat_bxm0524,-3.3620886299494916,-6.389099121522425,-0.15191508315399282,1,1880.0,17.6
NIC,impact,treat_bxm0524,-4.247993421570299,-7.259081663240116,-0.8751835404791084,1,2350.0,24.9
NLD,impact,treat_bxm0524,-6.546779405986214,-9.643466576921362,-3.350839441110839,1,62540.0,41.5
NOR,impact,treat_bxm0524,-7.197468627170858,-10.23336904478777,-3.8827610283442304,1,102910.0,39.4
NPL,impact,treat_bxm0524,-4.008969160181689,-7.117921620919574,-0.7639346052027491,1,1430.0,24.4
NZL,impact,treat_bxm0524,-6.833448541806069,-9.854587724944295,-3.416435948463521,1,48220.0,37.1
OMN,impact,treat_bxm0524,-4.716373974315571,-7.788296731964766,-1.4443259555817374,1,20470.0,29.0
PAK,impact,treat_bxm0524,-2.7752891054121616,-5.546205494742942,0.6908392812417539,0,1460.0,20.1
PAN,impact,treat_bxm0524,-5.020250037925166,-7.9710771789062935,-1.7460445801241882,1,17870.0,29.3
PER,impact,treat_bxm0524,-4.666683798223104,-7.683346318791223,-1.357141421289148,1,7090.0,29.1
PHL,impact,treat_bxm0524,-4.106098071487478,-6.983692242700159,-0.7767314365349236,1,4320.0,24.9
PNG,impact,treat_bxm0524,-3.842188551597264,-6.953137101485703,-0.589372641127591,1,2820.0,22.1
POL,impact,treat_bxm0524,-5.075696005126785,-8.19151863342,-1.7856969566184233,1,19900.0,40.9
PRI,impact,treat_bxm0524,-7.086189796717981,-10.081619238935719,-3.74990114210995,1,25240.0,45.2
PRK,impact,treat_bxm0524,-5.2112831195505755,-8.201788180515333,-1.9985107905411414,1,,35.8
PRT,impact,treat_bxm0524,-6.550615832191847,-9.601673478152776,-3.4176505984198844,1,26150.0,45.8
PRY,impact,treat_bxm0524,-4.805360302872868,-7.714565938202782,-1.3766536612340428,1,6220.0,26.0
PSE,impact,treat_bxm0524,-4.027201798812245,-7.102150125982376,-0.8129354244564109,1,4180.0,19.6
QAT,impact,treat_bxm0524,-9.001180011947202,-12.200183440364835,-5.694466030384193,1,79430.0,32.5
ROU,impact,treat_bxm0524,-6.27427471236232,-9.365299943272998,-3.1625737273987298,1,16660.0,42.4
RUS,impact,treat_bxm0524,-5.536189581734197,-8.525991995955618,-2.2828791581237695,1,14250.0,39.1
RWA,impact,treat_bxm0524,-3.8600423701687543,-6.857216165521702,-0.4611854888406697,1,990.0,19.2
SAU,impact,treat_bxm0524,-4.937540380365082,-7.984841194918993,-1.6740459269407904,1,31860.0,28.7
SDN,impact,treat_bxm0524,-3.2412979731502105,-6.12811404753452,0.14972227860944187,0,880.0,18.1
SEN,impact,treat_bxm0524,-2.2251167283508915,-5.259888259303978,1.0285563556545494,0,1630.0,18.9
SGP,impact,treat_bxm0524,-7.5608061229021875,-10.642768652119226,-4.260927051215253,1,70590.0,34.9
SLB,impact,treat_bxm0524,-3.6524296940513103,-6.5894991055292795,-0.2930365763477507,1,2100.0,20.0
SLE,impact,treat_bxm0524,-3.507359384977727,-6.452081033361065,-0.10283070179699116,1,870.0,19.0
SLV,impact,treat_bxm0524,-4.752204859044385,-7.6706127410555,-1.3916139646073429,1,4960.0,26.5
SRB,impact,treat_bxm0524,-7.007853226711239,-10.112085413010956,-3.853227660763798,1,10760.0,43.7
SSD,impact,treat_bxm0524,-2.88045538292379,-6.019893175868792,0.3174812508835423,0,,17.6
STP,impact,treat_bxm0524,-3.479658694526237,-6.5042284885711865,-0.19725672131680128,1,2580.0,18.9
SUR,impact,treat_bxm0524,-3.400563305512522,-6.456575040978894,-0.08824090836187182,1,5200.0,27.9
SVK,impact,treat_bxm0524,-6.911432110480899,-9.971028859294407,-3.7498488033736095,1,22790.0,40.9
SVN,impact,treat_bxm0524,-5.02965567445653,-8.008258279551953,-1.6676685756359522,1,30860.0,43.5
SWE,impact,treat_bxm0524,-6.335773739012897,-9.358300120438482,-3.075171649461323,1,60480.0,39.7
SWZ,impact,treat_bxm0524,-4.960001376319716,-7.904656754342391,-1.6752042879643891,1,3690.0,21.8
SYC,impact,treat_bxm0524,-6.034771256893179,-8.986249891581789,-2.6808182629288506,1,16940.0,33.4
SYR,impact,treat_bxm0524,-3.2190358920362563,-6.344932445219728,0.054308611769076975,0,,21.6
TCD,impact,treat_bxm0524,-3.01056017882879,-6.2159811822324675,0.10690719948149585,0,670.0,15.1
TGO,impact,treat_bxm0524,-4.039907729370862,-7.081427416843615,-0.8057584616915001,1,1000.0,18.7
THA,impact,treat_bxm0524,-5.271363379846157,-8.447937593359333,-2.0651015568608955,1,7200.0,39.2
TJK,impact,treat_bxm0524,-4.069930502154538,-7.170911442270247,-0.897072520380517,1,1400.0,21.7
TKM,impact,treat_bxm0524,-4.516157181747092,-7.408393252268211,-1.108172721028149,1,8250.0,25.9
TLS,impact,treat_bxm0524,-4.501118540085031,-7.657346064538685,-1.2719748682017542,1,2020.0,20.6
TON,impact,treat_bxm0524,-3.6676625220882215,-6.847996415936998,-0.487328628239446,1,,20.7
TTO,impact,treat_bxm0524,-4.1755676825558385,-7.209527400739354,-0.8280987934933606,1,21000.0,36.2
TUN,impact,treat_bxm0524,-4.9674509440622145,-7.96041563416022,-1.5896765080944633,1,3840.0,31.7
TUR,impact,treat_bxm0524,-4.80982358263086,-7.86151042709062,-1.5422617845437223,1,11730.0,32.1
TWN,impact,treat_bxm0524,-6.691605180373006,-9.588725803065758,-3.2111053196636252,1,,42.9
TZA,impact,treat_bxm0524,-3.349883261188225,-6.334833978309478,-0.037550852511737176,1,1220.0,17.1
UGA,impact,treat_bxm0524,-3.4603852819855607,-6.474794846559995,-0.2313906297634567,1,970.0,16.3
UKR,impact,treat_bxm0524,-6.024017021575689,-8.915068422858484,-2.6203678541080038,1,4950.0,41.5
URY,impact,treat_bxm0524,-6.378119570637959,-9.565367861442478,-3.1908712798334413,1,19700.0,35.5
USA,impact,treat_bxm0524,-5.517961172102055,-8.697842578249112,-2.3785878093454045,1,80450.0,37.7
UZB,impact,treat_bxm0524,-4.0729804802348575,-7.092839764247534,-0.7219108231369216,1,2700.0,26.8
VCT,impact,treat_bxm0524,-4.158851037878776,-7.196966410541154,-0.8992064192930993,1,10300.0,33.6
VEN,impact,treat_bxm0524,-4.220706565143001,-7.413757587014338,-1.0377922131823674,1,,28.8
VNM,impact,treat_bxm0524,-4.753919850687101,-7.759480430338645,-1.412144019752505,1,4110.0,31.9
VUT,impact,treat_bxm0524,-2.9366583623054243,-6.042794366971361,0.2424405686446125,0,3820.0,20.1
WSM,impact,treat_bxm0524,-2.9783636321122167,-6.090217266707146,0.19391434490203352,0,4200.0,20.1
YEM,impact,treat_bxm0524,-2.995623130392449,-6.014617851032644,0.31618378723291585,0,,18.1
ZAF,impact,treat_bxm0524,-4.826890497647657,-7.68325281288241,-1.4575898793249742,1,6480.0,27.9
